algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
Decision Tree,2.2,39,21,3900,7352,0.018253182,1.467351913,0.11683038,1.560647011,0.054842129,1.499052763,float64,0.968301435,0.897674419,0.861607143,0.879271071
AdaBoost,2.1,102,21,3119,8169,0.006347093,1.441797256,2.018942629,2.220165253,0.05025726,1.476750851,float64,0.962630792,0.922077922,0.788888889,0.850299401
KNN,2.2,77,17,3900,5718,0.02453889,1.457055092,0.013545803,1.468021154,0.254406818,1.735701084,float64,0.88576555,1,0.147321429,0.256809339
Decision Tree,2.1,23,14,2730,8169,0.00999377,1.452497244,0.060133157,1.521790028,0.049166358,1.508323193,float64,0.956410256,0.858108108,0.808917197,0.832786885
AdaBoost,2.2,114,20,3900,3268,0.025672279,1.454469919,0.636922621,1.925369024,0.050012888,1.497349977,float64,0.968301435,0.909090909,0.848214286,0.877598152
SVM,2.2,17,23,3900,5718,0.018806847,1.468042612,0.372418997,2.010318279,0.189897432,1.683052778,float64,0.828349282,0.431965443,0.892857143,0.58224163
Bagging Classifier,2.1,129,5,389,8169,0.036729474,1.431982756,0.27788976,1.476898193,0.012876632,1.450675964,float64,0.898809524,0.714285714,0.434782609,0.540540541
KNN,2.2,75,18,3900,4084,0.02549743,1.460982084,0.009089899,1.45014596,0.278343104,1.745706797,float64,0.869019139,1,0.022321429,0.043668122
AdaBoost,2.1,107,15,1169,8169,0.009504191,1.430151939,0.213637373,1.669117928,0.033335266,1.49299407,float64,0.960159363,0.873015873,0.820895522,0.846153846
SVM,2.1,8,25,779,8169,0.013101449,1.436221838,0.027462945,1.471496105,0.022949498,1.487873077,float64,0.83880597,0.448275862,0.866666667,0.590909091
AdaBoost,2.2,113,0,3900,2451,0.026871414,1.464547873,0.361268647,1.884196997,0.068895192,1.519412041,float64,0.967703349,0.908653846,0.84375,0.875
KNN,2.1,61,14,3509,8169,0.009898378,1.447135925,0.008869962,1.446609974,0.22209577,1.692456961,float64,0.922259136,0.717948718,0.693069307,0.705289673
AdaBoost,2.1,104,0,2340,8169,0.011201271,1.44590497,0.536331915,1.953957319,0.063601512,1.500235081,float64,0.953140578,0.865546218,0.768656716,0.814229249
AdaBoost,2.2,111,0,3900,817,0.026725611,1.453720093,0.224796563,1.700434923,0.067349584,1.503139019,float64,0.965909091,0.903381643,0.834821429,0.86774942
KNN,2.2,80,28,3900,8169,0.000889759,1.456789255,0.007526203,1.453585863,0.333589956,1.719503164,float64,0.93361244,0.792746114,0.683035714,0.73381295
KNN,2.2,80,15,3900,8169,0.000868287,1.442018032,0.009572083,1.457331896,0.24936107,1.743639946,float64,0.93361244,0.792746114,0.683035714,0.73381295
SVM,2.2,20,12,3900,8169,0.00079967,1.425565958,0.538656647,2.099177837,0.287345743,1.716529369,float64,0.828349282,0.431965443,0.892857143,0.58224163
Decision Tree,2.1,24,10,2340,8169,0.006366948,1.443831921,0.052377337,1.502712727,0.035136435,1.487590075,float64,0.94217348,0.796875,0.76119403,0.778625954
KNN,2.2,72,22,3900,1633,0.01516326,1.470416069,0.009605999,1.453055143,0.247398435,1.722182035,float64,0.868421053,1,0.017857143,0.035087719
KNN,2.1,65,10,1950,8169,0.010241995,1.460307121,0.006218145,1.472181082,0.095461397,1.527703047,float64,0.898325359,0.658823529,0.5,0.568527919
Bagging Classifier,2.1,129,23,389,8169,0.023755524,1.405960083,0.225708463,1.444818258,0.015817459,1.449060202,float64,0.898809524,0.6875,0.47826087,0.564102564
KNN,2.2,78,13,3900,6535,0.025517591,1.474651098,0.011439405,1.437510967,0.290295891,1.730252981,float64,0.889354067,0.975609756,0.178571429,0.301886792
Bagging Classifier,2.1,130,3,3900,8169,0.000801536,1.433484793,0.750449827,2.187409163,0.051524862,1.490777254,float64,0.95992823,0.902564103,0.785714286,0.840095465
AdaBoost,2.1,101,14,3509,8169,0.010120936,1.436908007,0.867858733,2.257632971,0.052145023,1.497363091,float64,0.955481728,0.860962567,0.797029703,0.827763496
SVM,2.1,7,1,1169,8169,0.009700476,1.44672513,0.054639762,1.521149874,0.047278586,1.480071068,float64,0.832669323,0.437956204,0.895522388,0.588235294
AdaBoost,2.2,118,14,3900,6535,0.026400132,1.464381218,0.628440894,2.198344946,0.066870518,1.528119087,float64,0.968899522,0.913461538,0.848214286,0.87962963
Random Forest,2.1,90,22,3900,8169,0.001165576,1.427497864,2.405063257,3.344720125,0.116071229,1.548500061,float64,0.977272727,0.984375,0.84375,0.908653846
SVM,2.1,9,23,389,8169,0.016075686,1.445640802,0.012890475,1.444118023,0.014517906,1.472322941,float64,0.797619048,0.387755102,0.826086957,0.527777778
Bagging Classifier,2.2,133,11,3900,2451,0.015882371,1.454985857,0.250388965,1.842566013,0.045921833,1.50116396,float64,0.963516746,0.913705584,0.803571429,0.855106888
Bagging Classifier,2.2,137,26,3900,5718,0.025475086,1.463376045,0.456683325,2.057753086,0.060328816,1.514201164,float64,0.963516746,0.917948718,0.799107143,0.854415274
Decision Tree,2.1,28,14,779,8169,0.006726462,1.440987825,0,1.450551987,0.018657705,1.460690975,float64,0.967164179,0.925,0.822222222,0.870588235
SVM,2.2,18,16,3900,6535,0.025266956,1.468285322,0.561156029,2.020133018,0.219454375,1.691383123,float64,0.828349282,0.431965443,0.892857143,0.58224163
Bagging Classifier,2.1,121,22,3509,8169,0.01053428,1.435096025,0.504981961,2.043303967,0.054288994,1.50266695,float64,0.964784053,0.898395722,0.831683168,0.863753213
Decision Tree,2.2,34,22,3900,3268,0.022926661,1.454718113,0.062103729,1.529197216,0.067186141,1.507390261,float64,0.96291866,0.864864865,0.857142857,0.860986547
Bagging Classifier,2.2,132,6,3900,1633,0.024670026,1.458811283,0.237239109,1.708906889,0.048133238,1.506509066,float64,0.966507177,0.90776699,0.834821429,0.869767442
Bagging Classifier,2.1,124,11,2340,8169,0.006874736,1.458231688,0.256976393,1.776017189,0.043816788,1.477390051,float64,0.950149551,0.85,0.76119403,0.803149606
Decision Tree,2.2,39,20,3900,7352,0.017922612,1.476404905,0.11085959,1.575752974,0.056627164,1.487509966,float64,0.95992823,0.852017937,0.848214286,0.850111857
Bagging Classifier,2.1,124,26,2340,8169,0.020735976,1.428570986,0.258941881,1.755084038,0.041256945,1.490638971,float64,0.953140578,0.891891892,0.73880597,0.808163265
AdaBoost,2.1,105,22,1950,8169,0.012062763,1.443418741,0.398521922,1.834666967,0.063902246,1.475117683,float64,0.964114833,0.859649123,0.875,0.867256637
Bagging Classifier,2.2,137,16,3900,5718,0.016876306,1.455271244,0.364102594,2.008350134,0.070795149,1.495312691,float64,0.964712919,0.910447761,0.816964286,0.861176471
AdaBoost,2.1,107,10,1169,8169,0.011076835,1.461090088,0.215452799,1.683232069,0.033590119,1.481185913,float64,0.960159363,0.873015873,0.820895522,0.846153846
Decision Tree,2.2,31,2,3900,817,0.026450107,1.466030121,0.040711209,1.494140863,0.056152259,1.505647182,float64,0.959330144,0.848214286,0.848214286,0.848214286
Decision Tree,2.2,37,17,3900,5718,0.024810225,1.472510099,0.10365879,1.551608086,0.052313058,1.499206781,float64,0.956937799,0.839285714,0.839285714,0.839285714
Decision Tree,2.1,21,29,3509,8169,0.009955547,1.45243001,0.096264252,1.565063238,0.052320323,1.500084877,float64,0.953488372,0.858695652,0.782178218,0.81865285
Bagging Classifier,2.1,127,6,1169,8169,0.010312066,1.452621222,0.105453622,1.572458982,0.025267365,1.465651035,float64,0.950199203,0.862068966,0.746268657,0.8
Bagging Classifier,2.1,124,15,2340,8169,0.009875502,1.438408136,0.322258619,1.772696972,0.040202196,1.489289999,float64,0.959122632,0.872,0.813432836,0.841698842
Decision Tree,2.1,27,3,1169,8169,0.007622893,1.446862936,0.02651877,1.48178792,0.019548287,1.45173192,float64,0.952191235,0.830769231,0.805970149,0.818181818
SVM,2.2,14,29,3900,3268,0.024947578,1.460711002,0.41554396,1.947035789,0.163896343,1.653218031,float64,0.828349282,0.431965443,0.892857143,0.58224163
SVM,2.2,20,20,3900,8169,0.000771571,1.439015865,1.027512682,2.084428072,0.339751156,1.7121737,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.1,85,28,1950,8169,0.012223049,1.436500072,0.571882473,2.262646914,0,1.481754065,float64,0.972488038,1,0.794642857,0.885572139
Decision Tree,2.2,39,18,3900,7352,0.016894972,1.470383883,0.120404536,1.572864056,0.058403406,1.482280016,float64,0.961722488,0.87037037,0.839285714,0.854545455
Bagging Classifier,2.2,138,7,3900,6535,0.025536493,1.477843761,0.626365299,2.068161726,0.066625753,1.495695114,float64,0.961124402,0.903553299,0.794642857,0.845605701
SVM,2.1,8,5,779,8169,0.006963802,1.469291687,0.03384055,1.489712954,0.02673846,1.469721079,float64,0.83880597,0.448275862,0.866666667,0.590909091
KNN,2.1,64,19,2340,8169,0.008332178,1.458488226,0.011858169,1.448241234,0.140451359,1.571614027,float64,0.90329013,0.67961165,0.52238806,0.5907173
Decision Tree,2.1,21,19,3509,8169,0.010339017,1.447453976,0.098938676,1.564823151,0.086492718,1.499562979,float64,0.954817276,0.860215054,0.792079208,0.824742268
Decision Tree,2.2,34,18,3900,3268,0.017324763,1.465675116,0.077435488,1.555279732,0.055059166,1.498045921,float64,0.958133971,0.856481481,0.825892857,0.840909091
SVM,2.2,17,6,3900,5718,0.027123655,1.456872225,0.60919536,2.011476994,0.217014085,1.696726084,float64,0.828349282,0.431965443,0.892857143,0.58224163
Bagging Classifier,2.2,139,15,3900,7352,0.016761348,1.464870214,0.423514254,2.096358299,0.066364562,1.506516218,float64,0.964712919,0.914572864,0.8125,0.860520095
Decision Tree,2.2,36,28,3900,4901,0.049818279,1.439952135,0.197310068,1.523194313,0.109923606,1.465061665,float64,0.960526316,0.855855856,0.848214286,0.852017937
Random Forest,2.1,88,6,779,8169,0.005899454,1.433956861,0.442797234,1.739556789,0.079156623,1.453077316,float64,0.958208955,1,0.688888889,0.815789474
Decision Tree,2.2,32,20,3900,1633,0.017277895,1.455434322,0.052619808,1.49609375,0.054043109,1.499140739,float64,0.963516746,0.875576037,0.848214286,0.861678005
Random Forest,2.2,92,12,3900,1633,0.025128872,1.463748217,1.103333111,2.463436127,0.119694796,1.537817955,float64,0.974282297,0.983957219,0.821428571,0.895377129
AdaBoost,2.2,115,1,3900,4084,0.027910084,1.463572979,0.327560467,1.927991867,0.061394724,1.521346092,float64,0.969497608,0.913875598,0.852678571,0.88221709
SVM,2.1,4,0,2340,8169,0.006337244,1.454884768,0.198794993,1.664396048,0.100739125,1.549310923,float64,0.80558325,0.395904437,0.865671642,0.543325527
AdaBoost,2.1,107,25,1169,8169,0.006011118,1.461519241,0,1.684341908,0.030410628,1.485127211,float64,0.960159363,0.873015873,0.820895522,0.846153846
Decision Tree,2.2,33,1,3900,2451,0.016953347,1.478332043,0.067813488,1.53415966,0.059231401,1.485303879,float64,0.961124402,0.873239437,0.830357143,0.851258581
Random Forest,2.2,92,2,3900,1633,0.05990486,1.459733963,1.020325701,2.477612019,0.089999342,1.547823191,float64,0.976674641,0.994652406,0.830357143,0.905109489
Bagging Classifier,2.2,137,17,3900,5718,0.026505709,1.463426113,0.550775958,2.050493002,0.055999904,1.535592079,float64,0.960526316,0.887254902,0.808035714,0.845794393
AdaBoost,2.2,113,17,3900,2451,0.036030547,1.438355923,0.791771382,1.895115852,0.062186399,1.507027864,float64,0.968301435,0.909090909,0.848214286,0.877598152
Decision Tree,2.2,36,25,3900,4901,0.016959646,1.467131138,0.103711933,1.549582958,0.0509445,1.496119976,float64,0.961722488,0.863636364,0.848214286,0.855855856
KNN,2.1,68,27,779,8169,0,1.455326319,0.006460155,1.44036293,0.046461519,1.474623919,float64,0.898507463,0.657142857,0.511111111,0.575
Random Forest,2.1,86,20,1559,8169,0.009485652,1.441506147,0.499886201,2.071825266,0.08223731,1.493942022,float64,0.958146487,1,0.688888889,0.815789474
KNN,2.2,73,6,3900,2451,0.027365707,1.459419966,0.010738222,1.445049047,0.300208981,1.734611988,float64,0.86722488,1,0.008928571,0.017699115
KNN,2.1,61,5,3509,8169,0.01042449,1.474770308,0.009571123,1.46831584,0.282838615,1.698455095,float64,0.922259136,0.717948718,0.693069307,0.705289673
AdaBoost,2.1,106,1,1559,8169,0.011271644,1.464257002,0.285438308,1.757961035,0.038726433,1.502266884,float64,0.959641256,0.879518072,0.811111111,0.843930636
Bagging Classifier,2.2,135,20,3900,4084,0.016780321,1.458261013,0.336959911,1.977015734,0.053559517,1.507194042,float64,0.965311005,0.902912621,0.830357143,0.865116279
Decision Tree,2.2,32,3,3900,1633,0.016582399,1.461675882,0.043467516,1.499659061,0.053903771,1.502720118,float64,0.962320574,0.870967742,0.84375,0.857142857
Bagging Classifier,2.2,133,14,3900,2451,0.020455435,1.456977129,0.328397111,1.831279278,0.060729168,1.496040821,float64,0.965311005,0.906862745,0.825892857,0.864485981
SVM,2.1,10,27,3900,8169,0.00051706,1.436754942,1.454799652,2.070327997,0.227818572,1.699952841,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.2,99,5,3900,7352,0.017191375,1.46797967,1.830150196,3.261368036,0.09388932,1.532940865,float64,0.9784689,0.984536082,0.852678571,0.913875598
Random Forest,2.1,86,10,1559,8169,0.010123545,1.437637091,0.658287148,2.058298111,0.058850234,1.492268085,float64,0.958146487,1,0.688888889,0.815789474
Decision Tree,2.1,26,15,1559,8169,0.011115241,1.450320721,0.040164941,1.483893156,0.028451277,1.471771955,float64,0.953662182,0.855421687,0.788888889,0.820809249
Random Forest,2.1,83,24,2730,8169,0.01024226,1.443294764,1.48003234,2.708585024,0.055423119,1.506066799,float64,0.973504274,0.9921875,0.808917197,0.89122807
AdaBoost,2.2,113,26,3900,2451,0.025637682,1.472383022,0.362876134,1.894048214,0.066241502,1.523833036,float64,0.967703349,0.908653846,0.84375,0.875
SVM,2.1,8,24,779,8169,0,1.450875998,0.033052879,1.479599237,0.02771153,1.470379829,float64,0.83880597,0.448275862,0.866666667,0.590909091
Bagging Classifier,2.2,139,17,3900,7352,0.0250179,1.461310863,0.653461654,2.090445995,0.060601587,1.523211956,float64,0.964712919,0.906403941,0.821428571,0.861826698
Random Forest,2.1,82,9,3119,8169,0.006788266,1.451131821,0.998215284,2.970307827,0.074057456,1.509942055,float64,0.976083707,1,0.822222222,0.902439024
Decision Tree,2.1,21,16,3509,8169,0.010540336,1.453962803,0.073517945,1.545058012,0.061200517,1.495302916,float64,0.954817276,0.845360825,0.811881188,0.828282828
AdaBoost,2.2,112,25,3900,1633,0.026768028,1.438955069,0.403286152,1.790366173,0,1.498377085,float64,0.969497608,0.909952607,0.857142857,0.882758621
AdaBoost,2.1,102,29,3119,8169,0.010359903,1.449590921,0.827808564,2.126608133,0.141317627,1.516898155,float64,0.961883408,0.916129032,0.788888889,0.847761194
Random Forest,2.1,85,8,1950,8169,0.00985811,1.442413092,0.752465863,2.295913935,0.056312733,1.479130983,float64,0.972488038,1,0.794642857,0.885572139
SVM,2.2,11,26,3900,817,0.027640861,1.466293097,0.289004325,1.715497971,0.175029781,1.576237917,float64,0.828349282,0.431965443,0.892857143,0.58224163
SVM,2.2,14,2,3900,3268,0.026074874,1.4410429,0.321970343,1.925115108,0.235693481,1.65073204,float64,0.828349282,0.431965443,0.892857143,0.58224163
SVM,2.2,19,20,3900,7352,0.024990165,1.464860916,0.481761301,2.033422232,0.22581619,1.7123878,float64,0.828349282,0.431965443,0.892857143,0.58224163
Bagging Classifier,2.2,134,28,3900,3268,0.038392749,1.46355319,0.375284212,1.912301064,0.071915027,1.500864029,float64,0.964712919,0.906403941,0.821428571,0.861826698
AdaBoost,2.2,114,27,3900,3268,0.029875208,1.457241774,0.392371578,1.918607712,0.063212669,1.504197836,float64,0.968301435,0.909090909,0.848214286,0.877598152
Random Forest,2.1,86,5,1559,8169,0.010822343,1.457698107,0.53903451,2.072818756,0.040934913,1.497345924,float64,0.961136024,1,0.711111111,0.831168831
Random Forest,2.1,81,5,3509,8169,0.011420917,1.447859287,1.749843174,3.110295057,0.08097896,1.524044037,float64,0.972757475,1,0.797029703,0.887052342
AdaBoost,2.1,105,19,1950,8169,0.006061401,1.431647778,0.302898497,1.867708921,0.053572545,1.496381044,float64,0.964114833,0.87962963,0.848214286,0.863636364
Decision Tree,2.1,30,5,3900,8169,0.000941616,1.432984829,0.109806491,1.570896864,0.055722072,1.515665054,float64,0.962320574,0.870967742,0.84375,0.857142857
Random Forest,2.2,92,18,3900,1633,0.065546008,1.478688955,1.201289249,2.479798079,0.110228148,1.542490005,float64,0.973684211,1,0.803571429,0.891089109
Bagging Classifier,2.1,122,29,3119,8169,0.006960201,1.456224918,0.559598718,1.940254211,0.056062097,1.493903875,float64,0.96935725,0.931677019,0.833333333,0.879765396
AdaBoost,2.2,117,25,3900,5718,0.027831161,1.484011889,0.452117331,2.10859108,0.069394313,1.506467104,float64,0.969497608,0.913875598,0.852678571,0.88221709
Bagging Classifier,2.1,129,7,389,8169,0.010171896,1.449970007,0.066211867,1.476819754,0.019768783,1.458014965,float64,0.904761905,0.705882353,0.52173913,0.6
SVM,2.1,6,14,1559,8169,0.009649214,1.448631763,0.098406386,1.509205103,0.812737321,1.501101971,float64,0.828101644,0.435897436,0.944444444,0.596491228
Decision Tree,2.2,38,15,3900,6535,0.019166591,1.489583015,0.111547361,1.571059942,0.081468215,1.493840933,float64,0.963516746,0.868778281,0.857142857,0.862921348
KNN,2.2,71,7,3900,817,0.025693598,1.463897943,0.008595976,1.465249062,0.226686418,1.741215944,float64,0.867822967,1,0.013392857,0.026431718
AdaBoost,2.1,105,28,1950,8169,0.007010346,1.474668026,0.336262835,1.853177071,0.042738788,1.471235991,float64,0.964114833,0.866071429,0.866071429,0.866071429
AdaBoost,2.1,103,17,2730,8169,0.008061124,1.454071999,0.637712346,2.038425207,0.050387633,1.51870203,float64,0.963247863,0.895833333,0.821656051,0.857142857
Random Forest,2.2,93,17,3900,2451,0.026263447,1.457063198,1.447380364,2.674970865,0.091704433,1.528883934,float64,0.977272727,0.994680851,0.834821429,0.90776699
KNN,2.2,79,16,3900,7352,0.025480491,1.465003014,0.009631642,1.52323103,0.42976238,1.752386093,float64,0.915669856,0.848739496,0.450892857,0.588921283
Bagging Classifier,2.1,123,29,2730,8169,0.007817247,1.460370779,0.458889294,1.877362967,0.051164201,1.485445023,float64,0.957264957,0.902255639,0.76433121,0.827586207
AdaBoost,2.1,107,17,1169,8169,0.020358482,1.423914909,0.415463899,1.675905704,0.061198412,1.472458124,float64,0.960159363,0.873015873,0.820895522,0.846153846
Random Forest,2.2,92,13,3900,1633,0.024819162,1.45195508,1.058619975,2.45314002,0.088915247,1.544168949,float64,0.974282297,0.983957219,0.821428571,0.895377129
SVM,2.1,10,22,3900,8169,0.000808418,1.451457977,0.526756609,2.095781803,0.251226819,1.687759161,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.1,86,24,1559,8169,0.013996653,1.464303255,1.421953308,2.120902061,0.045827067,1.490907192,float64,0.956651719,1,0.677777778,0.80794702
Decision Tree,2.2,40,8,3900,8169,0.000549384,1.432418108,0.116747406,1.566469193,0.05789658,1.494586706,float64,0.960526316,0.859090909,0.84375,0.851351351
Decision Tree,2.2,33,9,3900,2451,0.017403417,1.465950012,0.063719742,1.526961088,0.055008138,1.485578299,float64,0.962320574,0.874418605,0.839285714,0.856492027
AdaBoost,2.1,104,21,2340,8169,0.006779474,1.45778203,0.514182445,1.94371295,0.045878927,1.491541862,float64,0.953140578,0.865546218,0.768656716,0.814229249
Bagging Classifier,2.1,122,17,3119,8169,0.010402896,1.433836222,0.41248629,1.974680662,0.041814001,1.489923954,float64,0.958893871,0.908496732,0.772222222,0.834834835
KNN,2.1,70,13,3900,8169,0.000907891,1.439467907,0.009557728,1.433462858,0.257943807,1.728272915,float64,0.93361244,0.792746114,0.683035714,0.73381295
KNN,2.1,69,19,389,8169,0.00629655,1.462550879,0.003583354,1.432888985,0.016673454,1.436170816,float64,0.857142857,0.461538462,0.260869565,0.333333333
Bagging Classifier,2.2,140,25,3900,8169,0.000802776,1.448592186,0.565216507,2.173356056,0.086324679,1.494367838,float64,0.961722488,0.908163265,0.794642857,0.847619048
Decision Tree,2.2,38,4,3900,6535,0.0378717,1.456207275,0.18315147,1.528746843,0.061302251,1.486267805,float64,0.963516746,0.872146119,0.852678571,0.862302483
Bagging Classifier,2.2,134,25,3900,3268,0.020950938,1.475090981,0.514336748,1.897129059,0.079471682,1.50065732,float64,0.966507177,0.915841584,0.825892857,0.868544601
Bagging Classifier,2.2,139,11,3900,7352,0.047271841,1.473469973,0.412505404,2.096821785,0.059670764,1.531877279,float64,0.963516746,0.905472637,0.8125,0.856470588
SVM,2.2,11,13,3900,817,0.025328508,1.474097252,0.280400695,1.714445591,0.152856262,1.566050053,float64,0.828349282,0.431965443,0.892857143,0.58224163
Decision Tree,2.1,30,20,3900,8169,0.00064455,1.420221329,0.112986409,1.578632832,0.042707746,1.506173134,float64,0.961124402,0.869767442,0.834821429,0.851936219
Random Forest,2.1,89,6,389,8169,0.010003977,1.443974972,0.143658868,1.610931873,0.022940581,1.451045275,float64,0.922619048,1,0.434782609,0.606060606
Random Forest,2.1,88,13,779,8169,0,1.431143761,0.251223813,1.759490967,0.031184228,1.480495214,float64,0.958208955,1,0.688888889,0.815789474
Decision Tree,2.2,37,1,3900,5718,0.015951126,1.472516775,0.079434367,1.549683809,0.075136111,1.50308013,float64,0.964712919,0.873303167,0.861607143,0.86741573
Bagging Classifier,2.2,134,8,3900,3268,0.025692022,1.463907003,0.383126442,1.910830975,0.058911476,1.49561286,float64,0.963516746,0.897560976,0.821428571,0.857808858
AdaBoost,2.1,101,28,3509,8169,0.010831556,1.446164131,0.788715877,2.269228935,0.074442101,1.491864204,float64,0.955481728,0.860962567,0.797029703,0.827763496
AdaBoost,2.2,119,28,3900,7352,0.020418172,1.452623844,0.5608847,2.3223176,0.065607236,1.514594078,float64,0.968301435,0.913043478,0.84375,0.877030162
Random Forest,2.2,97,16,3900,5718,0.027010436,1.463727236,1.655125661,3.118295193,0.114636239,1.540616989,float64,0.9784689,1,0.839285714,0.912621359
Random Forest,2.2,92,24,3900,1633,0.016530094,1.468630075,1.080411104,2.477160931,0.135819187,1.532932758,float64,0.976076555,0.994623656,0.825892857,0.902439024
Random Forest,2.2,92,21,3900,1633,0.033330397,1.459976912,0,2.482228994,0.066628497,1.562748194,float64,0.973684211,0.989130435,0.8125,0.892156863
Decision Tree,2.2,32,0,3900,1633,0.021052671,1.461586237,0.0860966,1.49785018,0.051267971,1.499003887,float64,0.961722488,0.86036036,0.852678571,0.856502242
Decision Tree,2.1,27,22,1169,8169,0.011191887,1.451475859,0.038910323,1.470758915,0.029677545,1.470120192,float64,0.952191235,0.830769231,0.805970149,0.818181818
Bagging Classifier,2.2,133,27,3900,2451,0.023751435,1.471411943,0.37136518,1.795363188,0.063380639,1.49925518,float64,0.965909091,0.923857868,0.8125,0.864608076
KNN,2.1,64,16,2340,8169,0.010428301,1.475432873,0.007051513,1.427404881,0.169232618,1.554850101,float64,0.90329013,0.67961165,0.52238806,0.5907173
AdaBoost,2.1,110,16,3900,8169,0.000531453,1.447686911,0.609649363,2.395555735,0,1.502976894,float64,0.968301435,0.913043478,0.84375,0.877030162
KNN,2.2,79,20,3900,7352,0.025718188,1.462932825,0.011450284,1.455150843,0.211235147,1.727664232,float64,0.915669856,0.848739496,0.450892857,0.588921283
Random Forest,2.1,87,8,1169,8169,0.00660358,1.441628933,0.699941337,1.875939131,0.046766732,1.474123001,float64,0.956175299,1,0.671641791,0.803571429
AdaBoost,2.2,111,15,3900,817,0.023906611,1.469739914,0.20894073,1.725944042,0.100257628,1.512363911,float64,0.965909091,0.903381643,0.834821429,0.86774942
Random Forest,2.1,85,19,1950,8169,0.005706319,1.458822966,0.894483023,2.256033897,0.076467198,1.505589008,float64,0.970095694,1,0.776785714,0.874371859
Random Forest,2.2,95,11,3900,4084,0.02706635,1.456564903,1.450916894,2.809709072,0.084412456,1.545924902,float64,0.975478469,1,0.816964286,0.899262899
Random Forest,2.2,92,4,3900,1633,0.025270273,1.476218939,1.056806687,2.460268974,0.091596538,1.532444954,float64,0.974880383,1,0.8125,0.896551724
Random Forest,2.1,86,4,1559,8169,0.010214972,1.446909904,0.631247404,2.06161499,0.046883355,1.501385927,float64,0.956651719,1,0.677777778,0.80794702
Decision Tree,2.2,36,9,3900,4901,0.02686845,1.473659754,0.093579651,1.544024229,0.129843814,1.490018129,float64,0.960526316,0.859090909,0.84375,0.851351351
SVM,2.1,8,2,779,8169,0.015247744,1.409160137,0.06482036,1.464654922,0.056686091,1.454220057,float64,0.83880597,0.448275862,0.866666667,0.590909091
Random Forest,2.1,81,10,3509,8169,0.007489334,1.433379173,1.296337629,3.165958166,0.065970147,1.513090134,float64,0.972093023,0.981927711,0.806930693,0.885869565
KNN,2.1,66,10,1559,8169,0.007166789,1.454651833,0.005375553,1.471948862,0.064181467,1.503875017,float64,0.917787743,0.733333333,0.611111111,0.666666667
Decision Tree,2.1,23,13,2730,8169,0.010491121,1.460020781,0.060515217,1.543579102,0.04122102,1.482705355,float64,0.952991453,0.844594595,0.796178344,0.819672131
AdaBoost,2.1,104,17,2340,8169,0.034493079,1.401689053,1.008030687,1.943258047,0.092353061,1.46600914,float64,0.953140578,0.865546218,0.768656716,0.814229249
Decision Tree,2.1,30,16,3900,8169,0.000544497,1.432600737,0.115167439,1.571953058,0.069581131,1.47484374,float64,0.961722488,0.87037037,0.839285714,0.854545455
Decision Tree,2.2,37,18,3900,5718,0.016349661,1.472223043,0.09872557,1.553463936,0.058640616,1.476351976,float64,0.964114833,0.88317757,0.84375,0.863013699
SVM,2.2,13,28,3900,2451,0.024277593,1.461577415,0.474539961,1.843517065,0.239157283,1.632652044,float64,0.828349282,0.431965443,0.892857143,0.58224163
KNN,2.2,74,21,3900,3268,0.025476402,1.464388132,0.009631047,1.466101885,0.198568826,1.718085051,float64,0.868421053,1,0.017857143,0.035087719
AdaBoost,2.2,114,13,3900,3268,0.026236366,1.469115019,0,1.895931721,0.084707387,1.490445852,float64,0.968301435,0.909090909,0.848214286,0.877598152
AdaBoost,2.2,119,29,3900,7352,0.01631411,1.475757837,0.940011588,2.264207125,0.093594938,1.508821964,float64,0.968301435,0.913043478,0.84375,0.877030162
Bagging Classifier,2.1,124,8,2340,8169,0.009293013,1.447311878,0.404073575,1.783155918,0.052030632,1.477204323,float64,0.95114656,0.869565217,0.746268657,0.803212851
SVM,2.2,13,2,3900,2451,0.025967271,1.451591015,0.331257898,1.854800224,0.168568463,1.624468803,float64,0.828349282,0.431965443,0.892857143,0.58224163
SVM,2.1,10,12,3900,8169,0.000614526,1.443711996,0.662607407,2.065979958,0.248225053,1.698693991,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.1,90,0,3900,8169,0.00061415,1.433352947,2.096063619,3.449084997,0.096578222,1.538710833,float64,0.974880383,0.984042553,0.825892857,0.898058252
SVM,2.1,10,25,3900,8169,0.002425482,1.416538,0.667541529,2.105778933,0.248319119,1.698748112,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.2,98,2,3900,6535,0.017526506,1.454362869,1.643637894,3.201570034,0.218719469,1.555666924,float64,0.976076555,0.984210526,0.834821429,0.903381643
Random Forest,2.1,86,19,1559,8169,0.00998976,1.466169834,0.559147478,2.063384056,0.044352226,1.49225235,float64,0.961136024,1,0.711111111,0.831168831
AdaBoost,2.1,109,0,389,8169,0.009586507,1.437195063,0.103218436,1.564309835,0.028597428,1.473885298,float64,0.958333333,0.9,0.782608696,0.837209302
