algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
Bagging Classifier,2.2,134,7,3900,3268,0.025598403,1.469445705,0.331432543,1.886881113,0.060967019,1.495747089,float64,0.961722488,0.888349515,0.816964286,0.851162791
Decision Tree,2.2,33,3,3900,2451,0.016986412,1.445863008,0.067684102,1.521725893,0.054570748,1.490073681,float64,0.96291866,0.871559633,0.848214286,0.859728507
AdaBoost,2.1,109,19,389,8169,0.006350421,1.447577953,0.137198605,1.554516077,0.023532308,1.458169937,float64,0.958333333,0.9,0.782608696,0.837209302
Random Forest,2.2,95,0,3900,4084,0.016562276,1.43830204,1.399324034,2.800552845,0.139614975,1.518208981,float64,0.977272727,0.994680851,0.834821429,0.90776699
SVM,2.1,8,13,779,8169,0.010534258,1.434875011,0.034196998,1.463221073,0.032485365,1.475344896,float64,0.83880597,0.448275862,0.866666667,0.590909091
Random Forest,2.1,84,12,2340,8169,0.006658332,1.442830801,0.651363025,2.457231998,0.067743177,1.514008999,float64,0.959122632,0.989473684,0.701492537,0.820960699
Random Forest,2.1,84,29,2340,8169,0.011327902,1.45206809,1.715995938,2.408100843,0.052430703,1.488175154,float64,0.964107677,1,0.731343284,0.844827586
KNN,2.1,65,21,1950,8169,0.00866859,1.437804699,0.005884062,1.46162796,0.090908694,1.531401157,float64,0.898325359,0.658823529,0.5,0.568527919
AdaBoost,2.1,101,9,3509,8169,0.007028765,1.421164989,0.803907742,2.256561995,0.060649774,1.528314829,float64,0.955481728,0.860962567,0.797029703,0.827763496
AdaBoost,2.2,116,12,3900,4901,0.014117076,1.433808088,0.577992976,2.000884056,0.070030037,1.509584904,float64,0.969497608,0.913875598,0.852678571,0.88221709
KNN,2.2,71,2,3900,817,0.024225546,1.460464954,0.010926583,1.453306675,0.315786539,1.708281755,float64,0.867822967,1,0.013392857,0.026431718
Decision Tree,2.1,28,29,779,8169,0.016372094,1.423571825,0.018077077,1.447613955,0.025510722,1.447901249,float64,0.946268657,0.885714286,0.688888889,0.775
Random Forest,2.1,86,25,1559,8169,0.010099516,1.422085285,0.54397173,2.078419209,0.038525868,1.469959021,float64,0.952167414,1,0.644444444,0.783783784
SVM,2.2,14,5,3900,3268,0.017793995,1.460684061,0.319909583,1.917792082,0.193521109,1.663233042,float64,0.828349282,0.431965443,0.892857143,0.58224163
AdaBoost,2.2,118,11,3900,6535,0.016425135,1.438287973,0.748414091,2.168952227,0.054866496,1.51269865,float64,0.968899522,0.913461538,0.848214286,0.87962963
AdaBoost,2.2,118,19,3900,6535,0.017406219,1.433693886,0.493655038,2.201839924,0.067247339,1.50953126,float64,0.968301435,0.913043478,0.84375,0.877030162
AdaBoost,2.1,103,18,2730,8169,0.010973757,1.426692247,0.526589711,2.024981976,0.052899977,1.467143059,float64,0.957264957,0.884892086,0.78343949,0.831081081
Bagging Classifier,2.2,133,22,3900,2451,0.01868322,1.456629992,0.23602312,1.784343004,0.047354379,1.483078957,float64,0.96291866,0.897058824,0.816964286,0.855140187
Decision Tree,2.2,38,17,3900,6535,0.025347943,1.452147961,0.116068902,1.571702003,0.05614909,1.488319874,float64,0.963516746,0.865470852,0.861607143,0.863534676
Random Forest,2.1,83,7,2730,8169,0.006588837,1.449921131,1.39125943,2.716500998,0.085637736,1.513077974,float64,0.973504274,0.9921875,0.808917197,0.89122807
Bagging Classifier,2.2,133,19,3900,2451,0.015508793,1.465240002,0.413977892,1.790875196,0.15156958,1.495626926,float64,0.964114833,0.918367347,0.803571429,0.857142857
SVM,2.1,5,27,1950,8169,0.006381046,1.439339161,0.13767225,1.59357214,0.082953888,1.51978898,float64,0.820574163,0.416666667,0.848214286,0.558823529
KNN,2.1,70,25,3900,8169,0.000817715,1.439465284,0.01143413,1.440649033,0.370913274,1.719655991,float64,0.93361244,0.792746114,0.683035714,0.73381295
Random Forest,2.2,94,10,3900,3268,0.025510394,1.458871126,0.976144292,2.719202995,0.089506882,1.536931992,float64,0.975478469,0.979057592,0.834821429,0.901204819
Bagging Classifier,2.2,133,18,3900,2451,0.018508997,1.46835494,0.302448994,1.787530184,0.059067168,1.510998249,float64,0.961722488,0.9,0.803571429,0.849056604
Decision Tree,2.1,21,2,3509,8169,0.006868988,1.435967922,0.100750841,1.548965216,0.050364557,1.48829484,float64,0.95282392,0.854054054,0.782178218,0.816537468
SVM,2.2,11,25,3900,817,0.015382134,1.44516778,0.292157252,1.678948164,0.109493318,1.578061104,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.1,84,2,2340,8169,0.010513333,1.430009842,0.706370337,2.458368063,0.084383198,1.495650053,float64,0.964107677,0.99,0.73880597,0.846153846
Random Forest,2.1,82,6,3119,8169,0.006875272,1.441423178,2.600112249,2.964216232,0.093486282,1.504322052,float64,0.973841555,1,0.805555556,0.892307692
SVM,2.1,8,9,779,8169,0.010119679,1.428033113,0.03345853,1.476206064,0.029663559,1.457046032,float64,0.83880597,0.448275862,0.866666667,0.590909091
Bagging Classifier,2.2,139,3,3900,7352,0.017371836,1.444863081,0.617373342,2.056404829,0.056699277,1.493322134,float64,0.965909091,0.911330049,0.825892857,0.866510539
AdaBoost,2.1,102,3,3119,8169,0.006917369,1.461035967,0.471113424,2.156733751,0.05789192,1.497698784,float64,0.962630792,0.922077922,0.788888889,0.850299401
Random Forest,2.1,86,23,1559,8169,0.010840294,1.430585146,1.126834945,2.090573788,0.047303503,1.46683979,float64,0.958146487,1,0.688888889,0.815789474
Bagging Classifier,2.1,129,24,389,8169,0.010914939,1.440788031,0.049525599,1.481372118,0.012501544,1.447161913,float64,0.892857143,0.666666667,0.434782609,0.526315789
Random Forest,2.1,82,11,3119,8169,0.010784281,1.44507885,1.599462874,2.932736874,0.076979914,1.512337923,float64,0.976083707,1,0.822222222,0.902439024
Random Forest,2.2,100,29,3900,8169,0.000860077,1.41774106,2.073851834,3.354593039,0.113117906,1.54507494,float64,0.977870813,0.994708995,0.839285714,0.910411622
SVM,2.1,6,11,1559,8169,0.010763571,1.446875095,0.091195911,1.536756992,0.053617157,1.508993149,float64,0.828101644,0.435897436,0.944444444,0.596491228
Decision Tree,2.2,40,17,3900,8169,0.001366311,1.435262918,0.093109672,1.575021982,0.056416472,1.468623161,float64,0.96291866,0.871559633,0.848214286,0.859728507
SVM,2.2,18,5,3900,6535,0.016726583,1.470064878,0.590871323,1.974895239,0.239123293,1.70107007,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.1,81,20,3509,8169,0.010811459,1.426537037,1.022779583,3.084771872,0.099933081,1.508552313,float64,0.972093023,0.981927711,0.806930693,0.885869565
Bagging Classifier,2.1,127,21,1169,8169,0.006800678,1.437376976,0.128529477,1.582427979,0.027542322,1.45241189,float64,0.950199203,0.838709677,0.776119403,0.80620155
Bagging Classifier,2.1,125,1,1950,8169,0.012332113,1.434937954,0.361133014,1.688826799,0.029018601,1.455265999,float64,0.955741627,0.912087912,0.741071429,0.81773399
SVM,2.1,3,4,2730,8169,0.007080458,1.471025229,0.23933638,1.72883296,0.125347078,1.580414772,float64,0.828205128,0.432515337,0.898089172,0.583850932
Decision Tree,2.2,38,10,3900,6535,0.018585238,1.457492113,0.104334528,1.557262897,0.058777635,1.493888855,float64,0.959330144,0.851351351,0.84375,0.847533632
Random Forest,2.1,85,24,1950,8169,0.011107479,1.442788839,0.555675536,2.250334024,0.049740163,1.480042934,float64,0.976076555,1,0.821428571,0.901960784
Decision Tree,2.1,25,1,1950,8169,0.011135721,1.427476883,0.046106759,1.495748043,0.024593115,1.469852209,float64,0.956937799,0.87254902,0.794642857,0.831775701
SVM,2.1,3,1,2730,8169,0.007357146,1.43258214,0.252162202,1.73948884,0.131131404,1.579289198,float64,0.828205128,0.432515337,0.898089172,0.583850932
SVM,2.1,10,1,3900,8169,0.000835814,1.445152044,0.631707137,2.10462904,0.236622109,1.706120014,float64,0.828349282,0.431965443,0.892857143,0.58224163
AdaBoost,2.2,119,2,3900,7352,0.024993274,1.455069065,0.812699216,2.29361105,0.072445401,1.501441002,float64,0.968301435,0.913043478,0.84375,0.877030162
Random Forest,2.1,87,0,1169,8169,0.010474339,1.451090097,0.370540205,1.882481098,0.044342554,1.484266996,float64,0.958167331,1,0.686567164,0.814159292
KNN,2.1,63,23,2730,8169,0.007522833,1.435177088,0.005510301,1.452314138,0.176782871,1.594456911,float64,0.913675214,0.712121212,0.598726115,0.650519031
AdaBoost,2.2,120,22,3900,8169,0.000587568,1.453049898,1.025879306,2.423930883,0.061012395,1.478424072,float64,0.968301435,0.913043478,0.84375,0.877030162
AdaBoost,2.1,107,6,1169,8169,0.006594993,1.449381828,0.308285774,1.665541887,0.071100401,1.452438116,float64,0.960159363,0.873015873,0.820895522,0.846153846
Bagging Classifier,2.2,140,16,3900,8169,0.000944935,1.440603256,0.610391374,2.150398016,0.085081942,1.502007008,float64,0.964114833,0.901960784,0.821428571,0.859813084
Decision Tree,2.1,27,29,1169,8169,0.011750987,1.443872929,0.032872419,1.433109999,0.02358692,1.462067842,float64,0.952191235,0.830769231,0.805970149,0.818181818
Decision Tree,2.1,22,25,3119,8169,0.007016952,1.452598095,0.069118518,1.540368795,0.109764506,1.465982914,float64,0.954409567,0.832402235,0.827777778,0.830083565
Bagging Classifier,2.1,122,27,3119,8169,0.006815597,1.464396954,0.356308018,1.958992243,0.050211976,1.494804859,float64,0.961136024,0.915584416,0.783333333,0.844311377
Decision Tree,2.1,24,19,2340,8169,0.010598818,1.427605867,0.052188805,1.515030861,0.059766814,1.449186087,float64,0.946161515,0.817460317,0.768656716,0.792307692
KNN,2.1,61,8,3509,8169,0.011472297,1.44254899,0.010173795,1.447842121,0.213587134,1.672795057,float64,0.922259136,0.717948718,0.693069307,0.705289673
KNN,2.1,67,25,1169,8169,0.010956021,1.438914061,0.005526698,1.441594839,0.062173906,1.494695187,float64,0.916334661,0.727272727,0.597014925,0.655737705
SVM,2.1,10,11,3900,8169,0.000811269,1.430799007,0.695488429,2.075148106,0.247720552,1.703281164,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.2,93,28,3900,2451,0.025889166,1.455423355,0.806456118,2.626833916,0.117942393,1.520503759,float64,0.976076555,1,0.821428571,0.901960784
Bagging Classifier,2.1,124,17,2340,8169,0.010365587,1.434948206,0.280265607,1.767683029,0.042526926,1.46261096,float64,0.958125623,0.889830508,0.78358209,0.833333333
Decision Tree,2.2,40,23,3900,8169,0.000895037,1.429619074,0.169448707,1.570597172,0.044576015,1.47550106,float64,0.964114833,0.87962963,0.848214286,0.863636364
AdaBoost,2.1,109,26,389,8169,0.010295303,1.453994989,0.093049182,1.532696962,0.023498541,1.452728987,float64,0.958333333,0.9,0.782608696,0.837209302
SVM,2.1,6,12,1559,8169,0.009994473,1.45080781,0.066371873,1.520899057,0.518591503,1.459866762,float64,0.828101644,0.435897436,0.944444444,0.596491228
SVM,2.2,19,28,3900,7352,0.024837563,1.454158068,1.082703124,2.002612829,0.2562946,1.708449125,float64,0.828349282,0.431965443,0.892857143,0.58224163
Bagging Classifier,2.1,127,2,1169,8169,0.018246524,1.43463707,0.150038559,1.568160772,0.047823911,1.44715786,float64,0.944223108,0.830508475,0.731343284,0.777777778
SVM,2.2,19,12,3900,7352,0.051004978,1.442020655,0.652721823,2.004071951,0.247810959,1.698264837,float64,0.828349282,0.431965443,0.892857143,0.58224163
KNN,2.1,69,13,389,8169,0.007780626,1.448666096,0.003745717,1.430820942,0.021550353,1.440473795,float64,0.857142857,0.461538462,0.260869565,0.333333333
SVM,2.1,1,23,3509,8169,0.00991553,1.427565098,0.400993089,1.910351992,0.179954251,1.671182156,float64,0.804651163,0.398678414,0.896039604,0.551829268
